A,B,Expected,Got,Pass
0,0,0,0,True
0,1,1,1,True
0,2,2,2,True
0,3,3,3,True
0,4,4,4,True
0,5,5,5,True
0,6,6,6,True
0,7,7,7,True
0,8,8,8,True
0,9,9,9,True
0,10,10,10,True
0,11,11,11,True
0,12,12,12,True
0,13,13,13,True
0,14,14,14,True
0,15,15,15,True
1,0,1,1,True
1,1,2,2,True
1,2,3,3,True
1,3,4,4,True
1,4,5,5,True
1,5,6,6,True
1,6,7,7,True
1,7,8,8,True
1,8,9,9,True
1,9,10,10,True
1,10,11,11,True
1,11,12,12,True
1,12,13,13,True
1,13,14,14,True
1,14,15,15,True
1,15,16,16,True
2,0,2,2,True
2,1,3,3,True
2,2,4,4,True
2,3,5,5,True
2,4,6,6,True
2,5,7,7,True
2,6,8,8,True
2,7,9,9,True
2,8,10,10,True
2,9,11,11,True
2,10,12,12,True
2,11,13,13,True
2,12,14,14,True
2,13,15,15,True
2,14,16,16,True
2,15,17,17,True
3,0,3,3,True
3,1,4,4,True
3,2,5,5,True
3,3,6,6,True
3,4,7,7,True
3,5,8,8,True
3,6,9,9,True
3,7,10,10,True
3,8,11,11,True
3,9,12,12,True
3,10,13,13,True
3,11,14,14,True
3,12,15,15,True
3,13,16,16,True
3,14,17,17,True
3,15,18,18,True
4,0,4,4,True
4,1,5,5,True
4,2,6,6,True
4,3,7,7,True
4,4,8,8,True
4,5,9,9,True
4,6,10,10,True
4,7,11,11,True
4,8,12,12,True
4,9,13,13,True
4,10,14,14,True
4,11,15,15,True
4,12,16,16,True
4,13,17,17,True
4,14,18,18,True
4,15,19,19,True
5,0,5,5,True
5,1,6,6,True
5,2,7,7,True
5,3,8,8,True
5,4,9,9,True
5,5,10,10,True
5,6,11,11,True
5,7,12,12,True
5,8,13,13,True
5,9,14,14,True
5,10,15,15,True
5,11,16,16,True
5,12,17,17,True
5,13,18,18,True
5,14,19,19,True
5,15,20,20,True
6,0,6,6,True
6,1,7,7,True
6,2,8,8,True
6,3,9,9,True
6,4,10,10,True
6,5,11,11,True
6,6,12,12,True
6,7,13,13,True
6,8,14,14,True
6,9,15,15,True
6,10,16,16,True
6,11,17,17,True
6,12,18,18,True
6,13,19,19,True
6,14,20,20,True
6,15,21,21,True
7,0,7,7,True
7,1,8,8,True
7,2,9,9,True
7,3,10,10,True
7,4,11,11,True
7,5,12,12,True
7,6,13,13,True
7,7,14,14,True
7,8,15,15,True
7,9,16,16,True
7,10,17,17,True
7,11,18,18,True
7,12,19,19,True
7,13,20,20,True
7,14,21,21,True
7,15,22,22,True
8,0,8,8,True
8,1,9,9,True
8,2,10,10,True
8,3,11,11,True
8,4,12,12,True
8,5,13,13,True
8,6,14,14,True
8,7,15,15,True
8,8,16,16,True
8,9,17,17,True
8,10,18,18,True
8,11,19,19,True
8,12,20,20,True
8,13,21,21,True
8,14,22,22,True
8,15,23,23,True
9,0,9,9,True
9,1,10,10,True
9,2,11,11,True
9,3,12,12,True
9,4,13,13,True
9,5,14,14,True
9,6,15,15,True
9,7,16,16,True
9,8,17,17,True
9,9,18,18,True
9,10,19,19,True
9,11,20,20,True
9,12,21,21,True
9,13,22,22,True
9,14,23,23,True
9,15,24,24,True
10,0,10,10,True
10,1,11,11,True
10,2,12,12,True
10,3,13,13,True
10,4,14,14,True
10,5,15,15,True
10,6,16,16,True
10,7,17,17,True
10,8,18,18,True
10,9,19,19,True
10,10,20,20,True
10,11,21,21,True
10,12,22,22,True
10,13,23,23,True
10,14,24,24,True
10,15,25,25,True
11,0,11,11,True
11,1,12,12,True
11,2,13,13,True
11,3,14,14,True
11,4,15,15,True
11,5,16,16,True
11,6,17,17,True
11,7,18,18,True
11,8,19,19,True
11,9,20,20,True
11,10,21,21,True
11,11,22,22,True
11,12,23,23,True
11,13,24,24,True
11,14,25,25,True
11,15,26,26,True
12,0,12,12,True
12,1,13,13,True
12,2,14,14,True
12,3,15,15,True
12,4,16,16,True
12,5,17,17,True
12,6,18,18,True
12,7,19,19,True
12,8,20,20,True
12,9,21,21,True
12,10,22,22,True
12,11,23,23,True
12,12,24,24,True
12,13,25,25,True
12,14,26,26,True
12,15,27,27,True
13,0,13,13,True
13,1,14,14,True
13,2,15,15,True
13,3,16,16,True
13,4,17,17,True
13,5,18,18,True
13,6,19,19,True
13,7,20,20,True
13,8,21,21,True
13,9,22,22,True
13,10,23,23,True
13,11,24,24,True
13,12,25,25,True
13,13,26,26,True
13,14,27,27,True
13,15,28,28,True
14,0,14,14,True
14,1,15,15,True
14,2,16,16,True
14,3,17,17,True
14,4,18,18,True
14,5,19,19,True
14,6,20,20,True
14,7,21,21,True
14,8,22,22,True
14,9,23,23,True
14,10,24,24,True
14,11,25,25,True
14,12,26,26,True
14,13,27,27,True
14,14,28,28,True
14,15,29,29,True
15,0,15,15,True
15,1,16,16,True
15,2,17,17,True
15,3,18,18,True
15,4,19,19,True
15,5,20,20,True
15,6,21,21,True
15,7,22,22,True
15,8,23,23,True
15,9,24,24,True
15,10,25,25,True
15,11,26,26,True
15,12,27,27,True
15,13,28,28,True
15,14,29,29,True
15,15,30,30,True
